Epoch,Train_loss,Test_loss,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1,Test_F1,Train_IOU,Test_IOU
118,0.1216,2.3537,0.9765,0.9208,0.9332,0.7622,0.9539,0.8304,0.9132,0.7178
119,0.1161,2.2917,0.9777,0.9012,0.9342,0.7822,0.955,0.8338,0.9153,0.7224
120,0.1135,2.4229,0.9787,0.9018,0.9351,0.7919,0.9559,0.8399,0.917,0.7315
121,0.1103,2.6728,0.9781,0.9044,0.9377,0.7853,0.9571,0.8369,0.919,0.7268
122,0.1109,2.2803,0.9774,0.921,0.9368,0.7648,0.9562,0.8303,0.9176,0.7181
123,0.1098,2.5487,0.9772,0.9261,0.9386,0.7676,0.9571,0.835,0.919,0.7247
124,0.1076,2.3871,0.9791,0.9061,0.9398,0.7787,0.9587,0.8339,0.9219,0.7232
125,0.1051,2.4321,0.9794,0.9101,0.9398,0.7802,0.9588,0.8365,0.9221,0.7269
126,0.1036,2.7484,0.9799,0.9147,0.9415,0.7774,0.96,0.837,0.9243,0.7275
127,0.0997,2.6373,0.9798,0.905,0.9437,0.7855,0.9611,0.8375,0.9262,0.7282
128,0.0987,2.4603,0.981,0.908,0.9431,0.7863,0.9613,0.8394,0.9268,0.7304
129,0.0986,2.5861,0.9806,0.9106,0.944,0.7792,0.9616,0.8359,0.9273,0.7255
130,0.096,2.7561,0.9806,0.9159,0.9456,0.773,0.9625,0.8352,0.9289,0.7245
131,0.0996,3.1252,0.9801,0.9117,0.944,0.7768,0.9615,0.8351,0.9268,0.7244
132,0.0959,2.7984,0.9808,0.9078,0.9466,0.7769,0.9631,0.8342,0.9298,0.7228
133,0.0939,2.6371,0.9822,0.9115,0.9469,0.7752,0.9639,0.8344,0.9314,0.7232
134,0.0935,2.6254,0.9819,0.903,0.9468,0.784,0.9637,0.8357,0.931,0.7256
135,0.0897,2.7756,0.9821,0.9061,0.9485,0.781,0.9647,0.8354,0.9329,0.7249
136,0.0885,2.8447,0.9818,0.9025,0.9502,0.7825,0.9655,0.8346,0.9343,0.7238
137,0.0858,2.8035,0.9823,0.898,0.9524,0.7929,0.9669,0.8385,0.9368,0.7292
138,0.086,2.8553,0.9832,0.8961,0.9507,0.8012,0.9664,0.8423,0.936,0.7348
139,0.0914,2.7006,0.9819,0.8842,0.9499,0.8062,0.9654,0.84,0.9341,0.7317
140,0.0871,2.782,0.9827,0.8772,0.951,0.8119,0.9664,0.8398,0.9359,0.7314
141,0.084,2.6582,0.983,0.8765,0.952,0.817,0.9671,0.8424,0.9371,0.7348
142,0.0809,2.8636,0.9836,0.8724,0.9538,0.8191,0.9682,0.8416,0.9392,0.7341
143,0.0824,2.8628,0.9835,0.8831,0.9531,0.8143,0.9679,0.8442,0.9385,0.7376
144,0.0807,2.7744,0.9839,0.8787,0.9538,0.8118,0.9684,0.8407,0.9396,0.733
145,0.0834,2.8791,0.9837,0.88,0.9532,0.8088,0.968,0.8397,0.9388,0.7308
146,0.0785,3.0137,0.9846,0.8837,0.9555,0.8134,0.9696,0.8438,0.9417,0.7371
147,0.0764,3.0596,0.9843,0.8821,0.9574,0.8117,0.9704,0.8423,0.9433,0.7347
148,0.0769,2.8597,0.9846,0.8826,0.9574,0.8125,0.9706,0.8426,0.9436,0.7355
149,0.0747,3.0494,0.9854,0.8684,0.9566,0.8238,0.9706,0.8423,0.9435,0.7346
150,0.0744,3.0998,0.9845,0.8823,0.9576,0.8171,0.9707,0.8455,0.9438,0.7392
151,0.0747,3.0735,0.9854,0.8686,0.9562,0.8256,0.9704,0.8434,0.9432,0.7365
152,0.0733,2.9906,0.9855,0.8639,0.9576,0.8313,0.9712,0.844,0.9447,0.7374
153,0.0709,3.0833,0.9852,0.8793,0.959,0.8212,0.9718,0.8462,0.9459,0.741
154,0.0717,2.9669,0.9858,0.8749,0.9588,0.8233,0.9719,0.8451,0.9462,0.7387
155,0.0701,3.1073,0.986,0.8748,0.9601,0.8209,0.9727,0.8439,0.9475,0.7372
156,0.0691,3.133,0.9865,0.8737,0.9604,0.8258,0.9731,0.846,0.9483,0.7403
157,0.0691,3.174,0.9866,0.8708,0.9591,0.8251,0.9725,0.8442,0.9472,0.7375
158,0.0671,3.1263,0.9867,0.8783,0.9607,0.8211,0.9734,0.8456,0.9488,0.7397
159,0.0685,3.2526,0.986,0.8805,0.9604,0.8206,0.9729,0.8463,0.948,0.7405
